                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4178,                 4.1727,                 1.3011,                0.00525,                0.21951,                 0.0753,                0.04584,                  1.376,                 3.9791,                 1.1028,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 2.2499,                 4.0391,                 1.1338,                0.00553,                0.22764,                0.10704,                0.05854,                 1.3759,                 3.9904,                 1.1018,              4.902e-05,              4.902e-05,              4.902e-05
                      3,                 1.9335,                 3.8626,                 1.2219,                0.00736,                0.30894,                0.11875,                0.06748,                 1.3608,                 3.9915,                 1.1177,             8.0049e-05,             8.0049e-05,             8.0049e-05
                      4,                 2.2075,                 3.8177,                 1.2641,                0.01269,                0.55285,                0.14509,                0.08387,                 1.3398,                 3.9673,                 1.1286,             0.00010976,             0.00010976,             0.00010976
                      5,                 1.5194,                 3.1349,                0.98462,                0.00771,                0.34146,                0.14007,                0.08399,                 1.3598,                 3.9436,                 1.1369,             0.00013815,             0.00013815,             0.00013815
                      6,                 2.3941,                 3.2416,                0.99328,                0.00642,                0.28455,                0.13999,                0.08549,                 1.3224,                 3.9446,                 1.1212,             0.00016522,             0.00016522,             0.00016522
                      7,                 2.1955,                 2.9191,                 1.0908,                0.00718,                0.31707,                 0.1487,                0.09521,                 1.3061,                 3.9236,                 1.1076,             0.00019096,             0.00019096,             0.00019096
                      8,                  2.064,                 2.5895,                 1.1111,                0.00677,                0.30081,                0.15717,                0.09394,                 1.3363,                  3.851,                 1.1079,             0.00021539,             0.00021539,             0.00021539
                      9,                 1.4433,                 1.8286,                0.90122,                0.00685,                0.30894,                0.15618,                0.09697,                 1.3301,                 3.8093,                 1.0898,              0.0002385,              0.0002385,              0.0002385
                     10,                 2.4501,                 3.4213,                 1.2557,                0.00819,                0.37398,                 0.1789,                0.10318,                 1.3485,                 3.7294,                  1.085,             0.00026029,             0.00026029,             0.00026029
                     11,                 1.6217,                 1.7711,                 1.0858,                0.91057,                0.11382,                0.20381,                0.11752,                 1.3674,                   3.69,                  1.097,             0.00028076,             0.00028076,             0.00028076
                     12,                 2.5144,                 12.374,                0.98824,                0.91057,                0.11382,                0.20381,                0.11752,                 1.3674,                   3.69,                  1.097,              0.0002999,              0.0002999,              0.0002999
                     13,                 1.8415,                 1.8182,                 1.0874,                      1,                0.02843,                0.21775,                0.11765,                 1.4074,                 3.6045,                 1.1437,             0.00031773,             0.00031773,             0.00031773
                     14,                 2.1678,                 1.6644,                  1.012,                      1,                0.05552,                0.22437,                0.11679,                 1.4369,                 3.5482,                 1.1816,             0.00033424,             0.00033424,             0.00033424
                     15,                 2.2515,                 1.5106,                 0.9966,                      1,                0.05552,                0.22437,                0.11679,                 1.4369,                 3.5482,                 1.1816,             0.00034942,             0.00034942,             0.00034942
                     16,                 2.2214,                 1.8431,                 1.1122,                      1,                0.06428,                0.22929,                0.11924,                 1.4664,                 3.5758,                 1.2164,             0.00036329,             0.00036329,             0.00036329
                     17,                 1.4877,                 2.9172,                 1.0071,                0.01258,                0.60976,                0.23265,                0.11546,                 1.4754,                 3.6278,                 1.2078,             0.00037584,             0.00037584,             0.00037584
                     18,                 1.7611,                 1.5807,                 1.0011,                0.01258,                0.60976,                0.23265,                0.11546,                 1.4754,                 3.6278,                 1.2078,             0.00038706,             0.00038706,             0.00038706
                     19,                 1.9312,                 1.9969,                 1.0147,                 0.0131,                0.62602,                0.21453,                0.11172,                 1.4923,                 3.6626,                 1.1966,             0.00039697,             0.00039697,             0.00039697
                     20,                 2.3295,                 1.9384,                 1.1544,                 0.0131,                0.62602,                0.21453,                0.11172,                 1.4923,                 3.6626,                 1.1966,             0.00040555,             0.00040555,             0.00040555
                     21,                 2.4047,                 1.8971,                 1.0655,                0.01144,                0.53659,                 0.1936,                0.09625,                 1.4963,                 3.6938,                 1.2105,             0.00041282,             0.00041282,             0.00041282
                     22,                 1.9305,                 2.0168,                 1.0668,                0.01144,                0.53659,                 0.1936,                0.09625,                 1.4963,                 3.6938,                 1.2105,             0.00041876,             0.00041876,             0.00041876
                     23,                 1.9683,                 1.8292,                 1.1425,                0.00762,                0.35772,                0.16795,                0.09112,                 1.5206,                 3.6668,                 1.2185,             0.00042338,             0.00042338,             0.00042338
                     24,                 2.1523,                 1.5966,                 1.0783,                0.00762,                0.35772,                0.16795,                0.09112,                 1.5206,                 3.6668,                 1.2185,             0.00042669,             0.00042669,             0.00042669
                     25,                 2.1127,                 1.5537,                 1.0635,                0.67933,                0.12195,                0.16144,                0.09094,                 1.4923,                 3.6297,                 1.2195,             0.00042867,             0.00042867,             0.00042867
                     26,                 1.9631,                 1.8245,                 1.1239,                0.67933,                0.12195,                0.16144,                0.09094,                 1.4923,                 3.6297,                 1.2195,             0.00042934,             0.00042934,             0.00042934
                     27,                 1.8441,                 2.8106,                 1.3258,                0.67933,                0.12195,                0.16144,                0.09094,                 1.4923,                 3.6297,                 1.2195,             0.00042868,             0.00042868,             0.00042868
                     28,                 1.6824,                 2.0159,                  1.249,                      1,                0.03713,                0.21805,                0.11433,                 1.5017,                 3.5373,                 1.2333,              0.0004267,              0.0004267,              0.0004267
                     29,                 2.3601,                 1.5882,                 1.1783,                      1,                0.03713,                0.21805,                0.11433,                 1.5017,                 3.5373,                 1.2333,              0.0004234,              0.0004234,              0.0004234
                     30,                 2.4386,                 1.6609,                 1.1005,                      1,                0.04792,                0.31006,                 0.1527,                 1.4823,                 3.4415,                 1.2128,             0.00041879,             0.00041879,             0.00041879
                     31,                 2.2373,                 1.6221,                 1.1689,                      1,                0.04792,                0.31006,                 0.1527,                 1.4823,                 3.4415,                 1.2128,             0.00041285,             0.00041285,             0.00041285
                     32,                  1.787,                 1.9406,                 1.0805,                      1,                0.04792,                0.31006,                 0.1527,                 1.4823,                 3.4415,                 1.2128,             0.00040559,             0.00040559,             0.00040559
                     33,                 2.0819,                 1.6918,                  1.112,                      1,                0.06437,                0.39009,                0.18164,                 1.4924,                 3.3385,                 1.2101,             0.00039701,             0.00039701,             0.00039701
                     34,                 1.6468,                 1.6743,                 1.0885,                      1,                0.06437,                0.39009,                0.18164,                 1.4924,                 3.3385,                 1.2101,             0.00038711,             0.00038711,             0.00038711
